record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,known_anchor,live_concept_filter_drift,missing_live_concepts,title_floral,title_pollinator,title_antagonist,abstract_floral,abstract_pollinator,abstract_antagonist,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,machine_priority,machine_note,formal_title_abstract_decision,formal_title_abstract_reason
SCHPRISMA-000185,10.5281/zenodo.19110147,Data from: The Red Queen unveils the sexual and mating strategies of flowers,2026,https://openalex.org/W7152957331,Q10,other,NO,NO,,YES,NO,NO,YES,YES,YES,flowers,,,floral,pollinators,antagonistic;herbivores;herbivory;parasites,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000186,10.5281/zenodo.19110148,Data from: The Red Queen unveils the sexual and mating strategies of flowers,2026,https://openalex.org/W7153071267,Q10,software,NO,NO,,YES,NO,NO,YES,YES,YES,flowers,,,floral,pollinators,antagonistic;herbivores;herbivory;parasites,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000187,10.1016/j.dib.2024.110507,Dataset of volatile organic compound emission patterns from flowers and damaged leaves recorded with gas-chromatography coupled ion mobility spectrometry,2024,https://openalex.org/W4396831202,Q05,data-paper,NO,NO,,YES,NO,NO,YES,YES,YES,flowers,,,floral,pollinators,herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000188,10.1111/1365-2435.13035,"Dealing with mutualists and antagonists: Specificity of plant‐mediated interactions between herbivores and flower visitors, and consequences for plant fitness",2017,https://openalex.org/W2780310350,Q01;Q02;Q03;Q05;Q10;Q11;Q12,article,NO,NO,,YES,YES,YES,YES,YES,YES,flower,flower visitors,antagonists;herbivores,flower,flower visitor;flower visitors;pollinator;pollinators,antagonist;antagonists;florivore;herbivore;herbivores;herbivory,HIGH_TITLE_TRIPLE,All three registered concepts occur in the title.,,
SCHPRISMA-000189,,"Deceptive pollination, reproductive success and niche evolution in the broughtonia alliance (orchidaceae)",2015,https://openalex.org/W3212977353,Q08,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollination,,floral;flower;flowers,pollination;pollinator;pollinators,herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000190,,"Deceptive pollination, reproductive success and niche evolution in the broughtonia alliance (orchidaceae): a phylogenetic approach",2015,https://openalex.org/W2952355166,Q08,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollination,,floral;flower;flowers,pollination;pollinator;pollinators,herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000191,10.7554/elife.07641.008,Decision letter: How scent and nectar influence floral antagonists and mutualists,2015,https://openalex.org/W4239667223,Q01;Q02;Q04;Q05;Q10;Q11;Q13,peer-review,NO,NO,,YES,NO,YES,YES,YES,YES,floral,,antagonists,floral;flowers,pollinate;pollination;pollinator;pollinators,herbivore;herbivores,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000192,10.7554/elife.65610.sa1,Decision letter: Inbreeding in a dioecious plant has sex- and population origin-specific effects on its interactions with pollinators,2021,https://openalex.org/W4250626928,Q01;Q05;Q09,peer-review,NO,YES,antagonist,NO,YES,NO,YES,YES,NO,,pollinators,,floral,pollinator,,LIVE_CONCEPT_FILTER_DRIFT,Current OpenAlex metadata no longer reproduces the frozen concept pass; retain and inspect manually.,,
SCHPRISMA-000193,10.18174/471491,Defending flowers against multiple attack: from phytohormones to plant ecology,2019,https://openalex.org/W2952348851,Q05;Q10,dissertation,NO,NO,,YES,NO,NO,YES,YES,YES,flowers,,,flowers,pollinators,florivores;florivorous;parasitoid,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000194,,"Defensive Blütendüfte : Einfluss auf Arten und Gemeinschaften, Mechanismen und ökologische Konsequenzen",2010,https://openalex.org/W7113030406,Q02,dissertation,NO,NO,,NO,NO,NO,YES,YES,YES,,,,floral;flower;flowers,flower visitors;pollinating;pollination;pollinator;pollinators,antagonistic;antagonists;exploitation;exploited;florivores;nectar thieving;non-pollinating;parasitism,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000195,10.1038/s41598-022-23261-2,Defensive functions and potential ecological conflicts of floral stickiness,2022,https://openalex.org/W4309563832,Q01;Q02;Q04;Q10;Q13,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flower;flowers,pollinators,florivores;florivory;herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000196,10.1002/ece3.71491,Density‐Dependent Effects on the Reproductive Ecology of Trees in a Temperate Woodland,2025,https://openalex.org/W4410967616,Q08,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flowers,pollinators,seed predators,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000197,10.4161/psb.5.8.12289,Dependency on floral resources determines the animals’ responses to floral scents,2010,https://openalex.org/W1994110967,Q01;Q05;Q08;Q10,editorial,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flower;flowers,flower visitors;pollinated;pollination;pollinators,antagonists;exploiters,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000198,10.1201/9781420004007-1,Detection and Identification of Floral Scent Compounds,2006,https://openalex.org/W2464923893,Q01;Q05,book-chapter,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral,pollinators,herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000199,10.1111/1365-2656.12161,Determination of temperate bird–flower interactions as entangled mutualistic and antagonistic sub‐networks: characterization at the network and species levels,2013,https://openalex.org/W1986969455,Q09;Q10;Q13,article,NO,NO,,YES,NO,YES,YES,YES,YES,flower,,antagonistic,flower;flowers,pollinator;pollinators,antagonistic,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000200,10.1590/0102-33062021abb0299,Determining factors of flower coloration,2022,https://openalex.org/W4313024787,Q01;Q02;Q04;Q06;Q07;Q08;Q10;Q11;Q13,article,NO,NO,,YES,NO,NO,YES,YES,YES,flower,,,floral;flower;flowers,pollination;pollinator,herbivory,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
